InvoiceID,CustomerID,SalespersonID,InvoiceDate,DueDate,Amount,Status
1,103,14,22/07/2024,21/08/2024,4157.91,Unpaid
2,78,128,03/03/2024,02/04/2024,143.48,Unpaid
3,110,13,23/01/2024,22/02/2024,3469.2,Paid
4,37,82,01/09/2024,01/10/2024,252.81,Overdue
5,99,63,14/04/2024,14/05/2024,1878.67,Unpaid
6,24,120,02/03/2024,01/04/2024,4258.8,Unpaid
7,24,54,21/11/2024,21/12/2024,3278.57,Paid
8,139,64,26/11/2024,26/12/2024,3052.43,Paid
9,138,37,25/11/2024,25/12/2024,3258.38,Overdue
10,103,30,24/09/2024,24/10/2024,4709.74,Overdue
11,99,110,19/08/2024,18/09/2024,2671.86,Paid
12,150,151,02/09/2024,02/10/2024,4378.08,Overdue
13,76,111,08/08/2024,07/09/2024,3554.58,Unpaid
14,51,4,10/05/2024,09/06/2024,4906.21,Unpaid
15,5,64,26/06/2024,26/07/2024,4740.77,Unpaid
16,29,157,21/05/2024,20/06/2024,248.44,Paid
17,1,16,03/10/2024,02/11/2024,519.3,Overdue
18,53,96,03/03/2024,02/04/2024,2711.34,Unpaid
19,59,142,08/04/2024,08/05/2024,794.36,Unpaid
20,94,48,16/02/2024,17/03/2024,1403.83,Unpaid
21,3,108,01/11/2024,01/12/2024,619.64,Overdue
22,116,114,07/02/2024,08/03/2024,2789.31,Overdue
23,86,7,08/12/2024,07/01/2025,1430.38,Paid
24,130,97,30/04/2024,30/05/2024,4124.79,Paid
25,32,56,25/11/2024,25/12/2024,4474.79,Paid
26,79,102,01/06/2024,01/07/2024,3891.82,Unpaid
27,76,73,22/06/2024,22/07/2024,2270.34,Overdue
28,31,50,05/11/2024,05/12/2024,3954.9,Unpaid
29,35,126,26/11/2024,26/12/2024,4446.08,Paid
30,81,90,03/11/2024,03/12/2024,3109.67,Overdue
31,132,87,16/04/2024,16/05/2024,3473.41,Unpaid
32,89,47,18/01/2024,17/02/2024,290.11,Unpaid
33,34,46,15/10/2024,14/11/2024,1128.82,Paid
34,123,154,21/09/2024,21/10/2024,2640.82,Paid
35,87,158,23/07/2024,22/08/2024,1045.05,Overdue
36,56,30,21/08/2024,20/09/2024,3947.65,Overdue
37,14,28,19/02/2024,20/03/2024,3336.6,Unpaid
38,14,72,16/01/2024,15/02/2024,1149.77,Unpaid
39,121,146,01/09/2024,01/10/2024,1344.72,Overdue
40,89,95,09/10/2024,08/11/2024,2454.27,Unpaid
41,158,120,12/05/2024,11/06/2024,4509.58,Overdue
42,56,109,30/12/2024,29/01/2025,1971.61,Overdue
43,73,59,07/01/2025,06/02/2025,3430.54,Overdue
44,141,64,10/05/2024,09/06/2024,4629.87,Paid
45,150,131,17/02/2024,18/03/2024,292.76,Unpaid
46,45,139,05/07/2024,04/08/2024,1394.94,Overdue
47,46,106,03/01/2025,02/02/2025,4033.4,Paid
48,77,104,05/02/2024,06/03/2024,1907.4,Overdue
49,129,92,11/03/2024,10/04/2024,2117.11,Overdue
50,129,9,12/04/2024,12/05/2024,2860.8,Paid
51,57,84,07/10/2024,06/11/2024,4430.51,Unpaid
52,53,132,13/04/2024,13/05/2024,2106.6,Overdue
53,37,27,25/05/2024,24/06/2024,4521.67,Unpaid
54,121,48,14/10/2024,13/11/2024,402.04,Unpaid
55,103,15,20/06/2024,20/07/2024,1928.39,Unpaid
56,46,54,17/05/2024,16/06/2024,2384.62,Unpaid
57,93,5,06/02/2024,07/03/2024,3480.01,Unpaid
58,90,109,17/07/2024,16/08/2024,416.34,Unpaid
59,104,97,08/08/2024,07/09/2024,571.55,Paid
60,40,156,01/11/2024,01/12/2024,1219.03,Paid
61,108,94,08/12/2024,07/01/2025,1017.77,Overdue
62,24,32,20/01/2024,19/02/2024,1685.97,Paid
63,96,74,30/05/2024,29/06/2024,399.62,Unpaid
64,131,25,16/01/2024,15/02/2024,734.54,Unpaid
65,83,33,20/08/2024,19/09/2024,4457.17,Overdue
66,12,123,15/06/2024,15/07/2024,1123.17,Paid
67,114,95,16/01/2024,15/02/2024,642.2,Paid
68,70,15,30/07/2024,29/08/2024,1431.46,Paid
69,157,18,06/09/2024,06/10/2024,4670.69,Overdue
70,36,158,20/02/2024,21/03/2024,2487.69,Unpaid
71,130,137,30/03/2024,29/04/2024,4530.99,Overdue
72,157,109,12/04/2024,12/05/2024,4692.79,Paid
73,32,14,17/05/2024,16/06/2024,3026.41,Unpaid
74,62,133,16/07/2024,15/08/2024,3175.1,Paid
75,19,23,11/04/2024,11/05/2024,2599.32,Paid
76,86,59,27/08/2024,26/09/2024,2826.27,Overdue
77,69,99,08/10/2024,07/11/2024,4229.95,Paid
78,74,82,26/10/2024,25/11/2024,1138.51,Overdue
79,154,111,11/10/2024,10/11/2024,3185.56,Unpaid
80,4,50,11/04/2024,11/05/2024,3703.29,Paid
81,10,135,26/08/2024,25/09/2024,1693.6,Paid
82,3,8,13/11/2024,13/12/2024,3414.46,Paid
83,10,158,10/02/2024,11/03/2024,4608.69,Unpaid
84,139,39,25/07/2024,24/08/2024,2838.89,Unpaid
85,8,22,15/02/2024,16/03/2024,653.96,Paid
86,86,59,05/10/2024,04/11/2024,4909.37,Paid
87,19,62,05/02/2024,06/03/2024,1500.73,Unpaid
88,61,82,13/11/2024,13/12/2024,983.08,Overdue
89,65,95,08/01/2025,07/02/2025,1151.85,Overdue
90,125,30,30/10/2024,29/11/2024,2055.81,Unpaid
91,6,95,13/09/2024,13/10/2024,3375.22,Paid
92,29,49,25/08/2024,24/09/2024,1582.32,Unpaid
93,25,109,14/10/2024,13/11/2024,2161.33,Paid
94,25,157,03/11/2024,03/12/2024,3042.26,Unpaid
95,127,71,16/12/2024,15/01/2025,4455.85,Overdue
96,100,48,19/05/2024,18/06/2024,999.5,Overdue
97,144,127,25/05/2024,24/06/2024,3155.99,Unpaid
98,81,24,11/05/2024,10/06/2024,2684.91,Paid
99,137,23,20/01/2024,19/02/2024,358.34,Overdue
100,59,78,12/09/2024,12/10/2024,3242.3,Unpaid
101,62,35,23/09/2024,23/10/2024,4197.13,Paid
102,79,46,04/12/2024,03/01/2025,2616.69,Unpaid
103,114,79,28/08/2024,27/09/2024,447.63,Paid
104,85,82,02/02/2024,03/03/2024,4247.52,Overdue
105,73,147,14/01/2024,13/02/2024,3702.96,Paid
106,26,114,11/03/2024,10/04/2024,4183.96,Unpaid
107,142,64,09/09/2024,09/10/2024,2201.15,Overdue
108,151,107,29/01/2024,28/02/2024,4458.83,Paid
109,43,48,30/09/2024,30/10/2024,3854.08,Unpaid
110,111,144,17/05/2024,16/06/2024,4355.51,Paid
111,149,6,11/06/2024,11/07/2024,537.73,Overdue
112,156,23,24/09/2024,24/10/2024,2105.3,Unpaid
113,14,130,22/05/2024,21/06/2024,396.35,Paid
114,53,30,02/12/2024,01/01/2025,4887.42,Paid
115,121,18,12/04/2024,12/05/2024,4087.27,Paid
116,86,98,18/03/2024,17/04/2024,4861.53,Paid
117,13,70,12/08/2024,11/09/2024,683.08,Paid
118,23,136,25/01/2024,24/02/2024,138.47,Overdue
119,54,39,16/04/2024,16/05/2024,2302.61,Unpaid
120,130,106,15/12/2024,14/01/2025,4801.78,Paid
121,125,127,18/05/2024,17/06/2024,2869.75,Paid
122,24,36,28/10/2024,27/11/2024,735.7,Paid
123,116,12,07/12/2024,06/01/2025,3104.05,Unpaid
124,95,118,18/02/2024,19/03/2024,4479.55,Overdue
125,78,75,10/01/2025,09/02/2025,2413.29,Paid
126,91,51,28/02/2024,29/03/2024,522.77,Paid
127,40,5,25/12/2024,24/01/2025,2127.72,Overdue
128,43,4,07/10/2024,06/11/2024,4621.1,Unpaid
129,134,142,19/01/2024,18/02/2024,2760.77,Unpaid
130,156,33,21/08/2024,20/09/2024,4273.55,Overdue
131,40,6,04/09/2024,04/10/2024,4882.5,Paid
132,35,78,24/08/2024,23/09/2024,2042.35,Unpaid
133,47,20,28/07/2024,27/08/2024,4796.47,Unpaid
134,76,59,11/12/2024,10/01/2025,2620.38,Paid
135,55,29,05/12/2024,04/01/2025,381.4,Paid
136,145,63,12/03/2024,11/04/2024,300.39,Unpaid
137,83,21,04/02/2024,05/03/2024,2290.43,Unpaid
138,98,70,28/06/2024,28/07/2024,1136.32,Unpaid
139,136,82,10/10/2024,09/11/2024,1814.05,Paid
140,100,52,23/03/2024,22/04/2024,4723.14,Unpaid
141,111,156,12/05/2024,11/06/2024,2140.43,Unpaid
142,111,101,09/11/2024,09/12/2024,1051.42,Paid
143,103,44,30/10/2024,29/11/2024,2701.13,Overdue
144,113,14,23/08/2024,22/09/2024,1984.34,Overdue
145,32,108,18/06/2024,18/07/2024,4146.83,Unpaid
146,73,60,24/12/2024,23/01/2025,3662.94,Overdue
147,66,2,17/01/2024,16/02/2024,2903.38,Unpaid
148,119,133,11/06/2024,11/07/2024,1832.74,Paid
149,146,48,26/07/2024,25/08/2024,2901.66,Paid
150,125,132,21/10/2024,20/11/2024,2442.24,Paid
151,70,151,21/03/2024,20/04/2024,2593.24,Unpaid
152,102,144,11/07/2024,10/08/2024,3722.12,Paid
153,2,7,24/06/2024,24/07/2024,4546.05,Paid
154,114,52,24/05/2024,23/06/2024,3581.52,Unpaid
155,135,40,29/10/2024,28/11/2024,992.28,Paid
156,30,120,22/01/2024,21/02/2024,1247.22,Paid
157,49,18,04/10/2024,03/11/2024,1448.09,Overdue
158,13,70,15/02/2024,16/03/2024,4865.77,Paid
